hotel_df,City,Country,Max Temp,Lat,Lng,Hotel Name
368,Pacasmayo,PE,69.33200000000002,-7.4006,-79.5714,Hotel Libertad
369,Syracuse,IT,60.58399999999999,37.0881,15.2792,Hotel Posta
371,Nam Som,TH,81.71600000000001,17.7704,102.1895,โรงแรมวุฒิโชค น้ำโสม ที่พักไกล้วัดป่าภูก้อน ราคา 500฿
372,Constitucion,CL,52.82599999999999,-35.3333,-72.4167,Hotel Boutique Las Azucenas
373,Sorong,ID,78.674,-0.8833,131.25,Waigo Splash Hotel
376,Petatlan,MX,87.87200000000004,17.5167,-101.2667,Hotel California Petatlán
377,Bosaso,SO,82.65199999999999,11.2842,49.1816,Red Sea Hotel
378,Pilar Do Sul,BR,69.99800000000002,-23.8131,-47.7164,HOTEL CENTRAL
379,Nakhon Phanom,TH,80.18599999999998,17.3333,104.4167,ป่ายางรีสอร์ท
380,Shingu,JP,67.226,33.7333,135.9833,Shingu UI Hotel
382,Nkan,GA,74.40800000000002,0.3833,9.7833,Hôtel Santa Barbara
385,Guantanamo,CU,82.23800000000006,20.1444,-75.2092,Hotel Guantánamo
386,Eirunepe,BR,78.13399999999999,-6.6603,-69.8736,Atrás de você
387,Lima,PE,63.661999999999956,-12.0432,-77.0282,Hotel Kamana
388,Impfondo,CG,70.64600000000004,1.6381,18.0667,Auberge La Place de Jules
389,Zhanaozen,KZ,68.86400000000003,43.3,52.8,K.korabay 28A
390,Champerico,GT,83.20999999999998,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
391,Galle,LK,81.17599999999999,6.0367,80.217,Amangalla
392,Mandiana,GN,86.108,10.6333,-8.6833,Motels rouzo
393,Malanville,BJ,93.45199999999997,11.8685,3.3899,Hotel Sejour du Sahel
394,Carlsbad,US,77.99000000000002,33.1581,-117.3506,Carlsbad Inn Beach Resort
395,Mount Isa,AU,69.83599999999997,-20.7333,139.5,ibis Styles Mt Isa Verona
396,Rennes,FR,54.23000000000005,48.1667,-1.6667,ibis budget Rennes Route de Saint-Malo
399,Korla,CN,50.50399999999995,41.7597,86.1469,Gulisitan Hotel
400,Encruzilhada,BR,65.73200000000003,-15.5314,-40.9094,Hotel e Restaurante Rio Pardo
402,Nauta,PE,76.04600000000005,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
403,Lodwar,KE,83.15600000000003,3.1191,35.5973,Solmar Gracious Hotel
404,Abha,SA,60.89000000000002,18.2164,42.5053,Abha Hotel
405,Hue,VN,79.17799999999997,16.4667,107.6,Saigon Morin Hotel
406,Charters Towers,AU,74.642,-20.1,146.2667,Cattleman's Rest Motor Inn
407,Turinsk,RU,51.63800000000005,58.0458,63.696,hotel Arthur
408,Ilula,TZ,63.01400000000004,-7.6766,36.0366,FM Lodge
409,Zhoucheng,CN,58.38800000000005,35.9122,116.3117,Yingbin Restaurant
410,Domoni,KM,79.19600000000005,-12.2569,44.5319,Al Djadid
411,Huilong,CN,60.20600000000003,31.8111,121.655,Hilton Garden Inn Qidong
412,Sibu,MY,73.976,2.3,111.8167,RH HOTEL (4 Star)
413,Damietta,EG,65.174,31.4165,31.8133,SULIMAN INN
414,Tomatlan,MX,90.03200000000001,19.9333,-105.25,El Salvial
415,Vao,NC,75.72200000000004,-22.6667,167.4833,Hotel Kou-Bugny
416,Christchurch,NZ,59.59399999999997,-43.5333,172.6333,The George
417,Miandrivazo,MG,71.95999999999998,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
419,Challans,FR,61.26799999999999,46.8436,-1.8749,Citotel Le Challans
420,Tuy Hoa,VN,77.684,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
421,Bokovskaya,RU,51.56600000000001,49.229,41.8306,Gostinitsa Stanitsa
424,Jesus De Otoro,HN,85.92799999999997,14.4833,-87.9833,Hotel Tosta
426,Benghazi,LY,70.592,32.1167,20.0667,Tibesti Hotel
429,Ahuimanu,US,82.38200000000002,21.4447,-157.8378,Paradise Bay Resort
431,Buraydah,SA,72.31999999999996,26.326,43.975,Mövenpick Qassim
432,Nuevitas,CU,77.48599999999996,21.5453,-77.2644,Hotel Caonaba
433,Puerto Cabezas,NI,84.434,14.0351,-83.3888,Cabaña Caribe
